,time,Nederbördsmängd
717,2020-02-15:22,0.0
718,2020-02-15:23,0.0
719,2020-02-16:00,0.0
720,2020-02-16:01,0.0
721,2020-02-16:02,0.0
722,2020-02-16:03,0.1
723,2020-02-16:04,0.4
724,2020-02-16:05,0.0
725,2020-02-16:06,0.0
726,2020-02-16:07,0.0
727,2020-02-16:08,0.0
728,2020-02-16:09,0.0
729,2020-02-16:10,0.1
730,2020-02-16:11,1.0
731,2020-02-16:12,0.7
732,2020-02-16:13,2.0
733,2020-02-16:14,0.6
734,2020-02-16:15,0.1
735,2020-02-16:16,0.0
736,2020-02-16:17,0.0
737,2020-02-16:18,0.0
738,2020-02-16:19,0.0
739,2020-02-16:20,0.0
740,2020-02-16:21,0.3
741,2020-02-16:22,2.0
742,2020-02-16:23,0.7
743,2020-02-17:00,0.0
744,2020-02-17:01,0.0
745,2020-02-17:02,0.0
746,2020-02-17:03,0.0
747,2020-02-17:04,0.0
748,2020-02-17:05,0.0
749,2020-02-17:06,0.0
750,2020-02-17:07,0.0
751,2020-02-17:08,0.1
752,2020-02-17:09,0.0
753,2020-02-17:10,0.0
754,2020-02-17:11,0.0
755,2020-02-17:12,0.1
756,2020-02-17:13,0.0
757,2020-02-17:14,0.0
758,2020-02-17:15,0.0
759,2020-02-17:16,0.0
760,2020-02-17:17,0.7
761,2020-02-17:18,1.0
762,2020-02-17:19,0.0
763,2020-02-17:20,0.0
764,2020-02-17:21,0.0
765,2020-02-17:22,0.0
766,2020-02-17:23,0.0
767,2020-02-18:00,0.0
768,2020-02-18:01,0.0
769,2020-02-18:02,0.0
770,2020-02-18:03,0.0
771,2020-02-18:04,0.0
772,2020-02-18:05,0.0
773,2020-02-18:06,0.0
774,2020-02-18:07,0.0
775,2020-02-18:08,0.0
776,2020-02-18:09,0.0
777,2020-02-18:10,0.2
778,2020-02-18:11,0.0
779,2020-02-18:12,0.0
780,2020-02-18:13,0.0
781,2020-02-18:14,0.0
782,2020-02-18:15,0.0
783,2020-02-18:16,0.0
784,2020-02-18:17,0.0
785,2020-02-18:18,0.0
786,2020-02-18:19,0.1
787,2020-02-18:20,0.0
788,2020-02-18:21,0.0
789,2020-02-18:22,0.0
790,2020-02-18:23,0.0
791,2020-02-19:00,0.0
792,2020-02-19:01,0.0
793,2020-02-19:02,0.0
794,2020-02-19:03,0.0
795,2020-02-19:04,0.0
796,2020-02-19:05,0.1
797,2020-02-19:06,0.0
798,2020-02-19:07,0.1
799,2020-02-19:08,0.2
800,2020-02-19:09,0.0
801,2020-02-19:10,0.0
802,2020-02-19:11,0.0
803,2020-02-19:12,0.0
804,2020-02-19:13,0.0
805,2020-02-19:14,0.0
806,2020-02-19:15,0.0
807,2020-02-19:16,0.1
808,2020-02-19:17,0.0
809,2020-02-19:18,0.0
810,2020-02-19:19,0.0
811,2020-02-19:20,0.0
812,2020-02-19:21,0.0
813,2020-02-19:22,0.0
814,2020-02-19:23,0.0
815,2020-02-20:00,0.0
816,2020-02-20:01,0.0
817,2020-02-20:02,0.0
818,2020-02-20:03,0.0
819,2020-02-20:04,0.0
820,2020-02-20:05,0.0
821,2020-02-20:06,0.0
822,2020-02-20:07,0.0
823,2020-02-20:08,0.0
824,2020-02-20:09,0.1
825,2020-02-20:10,0.0
826,2020-02-20:11,0.0
827,2020-02-20:12,0.0
828,2020-02-20:13,0.0
829,2020-02-20:14,0.0
830,2020-02-20:15,0.0
831,2020-02-20:16,0.1
832,2020-02-20:17,0.2
833,2020-02-20:18,0.2
834,2020-02-20:19,0.1
835,2020-02-20:20,0.2
836,2020-02-20:21,0.0
837,2020-02-20:22,0.0
838,2020-02-20:23,0.0
839,2020-02-21:00,0.1
840,2020-02-21:01,0.2
841,2020-02-21:02,1.0
842,2020-02-21:03,1.0
843,2020-02-21:04,0.7
844,2020-02-21:05,0.0
845,2020-02-21:06,0.0
846,2020-02-21:07,0.0
847,2020-02-21:08,0.0
848,2020-02-21:09,0.0
849,2020-02-21:10,0.0
850,2020-02-21:11,0.0
851,2020-02-21:12,0.0
852,2020-02-21:13,0.0
853,2020-02-21:14,0.0
854,2020-02-21:15,0.0
855,2020-02-21:16,0.0
856,2020-02-21:17,0.0
857,2020-02-21:18,0.0
858,2020-02-21:19,0.0
859,2020-02-21:20,0.0
860,2020-02-21:21,0.0
861,2020-02-21:22,0.0
